STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1528,10125-408222695,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 11:49,"58,000","11,000",0,0,"11,539",0,"35,462"
1529,10125-408677076,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 11:27,"29,000","5,000",0,0,"5,892",0,"18,108"
1530,10125-408761176,10313967,Cà Phê Muối Chú Long - Tiền Giang,10/12/2025 11:29,"58,000","11,000",0,0,"11,539",0,"35,462"
1531,10125-408849337,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 11:55,"37,000","5,000",0,0,"7,856",0,"24,144"
1532,10125-409114876,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 11:49,"399,000","54,500",0,0,"84,575",0,"259,925"
1533,10125-409214319,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 11:56,"58,000","11,000",0,0,"11,539",0,"35,462"
1534,10125-409496463,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 12:18,"22,000","6,600",0,0,"3,781",0,"11,619"
1535,10125-409688304,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 11:46,"22,000","6,600",0,0,"3,781",0,"11,619"
1536,10125-410158478,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 12:05,"36,000","5,000",0,0,"7,611",0,"23,390"
1537,10125-410225609,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 12:01,"158,000","26,000",0,0,"32,406",0,"99,594"
1538,10125-410290576,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 12:50,"141,000","26,000",0,0,"28,233",0,"86,768"
1539,10125-410310161,10350108,Cà Phê Muối Chú Long - Đường Láng,10/12/2025 11:51,"22,000","6,600",0,0,"3,781",0,"11,619"
